,Element,Symbol,N_spin,stable,is_stable
0,hydrogen,H,0.5,-,1
1,hydrogen,H,1.0,-,1
2,hydrogen,H,0.5,*,0
3,helium,He,0.5,-,1
4,helium,He,0.0,-,1
5,lithium,Li,1.0,-,1
6,lithium,Li,1.5,-,1
7,beryllium,Be,1.5,-,1
8,boron,B,3.0,-,1
9,boron,B,1.5,-,1
10,carbon,C,0.0,-,1
11,carbon,C,0.5,-,1
12,carbon,C,0.0,*,0
13,nitrogen,N,1.0,-,1
14,nitrogen,N,0.5,-,1
15,oxygen,O,0.0,-,1
16,oxygen,O,2.5,-,1
17,oxygen,O,0.0,-,1
18,fluorine,F,0.5,-,1
19,neon,Ne,0.0,-,1
20,neon,Ne,1.5,-,1
21,neon,Ne,0.0,-,1
22,sodium,Na,3.0,*,0
23,sodium,Na,1.5,-,1
24,magnesium,Mg,0.0,-,1
25,magnesium,Mg,2.5,-,1
26,magnesium,Mg,0.0,-,1
27,aluminium,Al,2.5,-,1
28,silicon,Si,0.0,-,1
29,silicon,Si,0.5,-,1
30,silicon,Si,0.0,-,1
31,phosphorus,P,0.5,-,1
32,sulfur,S,0.0,-,1
33,sulfur,S,1.5,-,1
34,sulfur,S,0.0,-,1
35,sulfur,S,0.0,-,1
36,chlorine,Cl,1.5,-,1
37,chlorine,Cl,2.0,*,0
38,chlorine,Cl,1.5,-,1
39,argon,Ar,0.0,-,1
40,argon,Ar,0.0,-,1
41,argon,Ar,3.5,*,0
42,argon,Ar,0.0,-,1
43,potassium,K,1.5,-,1
44,potassium,K,4.0,-,1
45,potassium,K,1.5,-,1
46,calcium,Ca,0.0,-,1
47,calcium,Ca,3.5,*,0
48,calcium,Ca,0.0,-,1
49,calcium,Ca,3.5,-,1
50,calcium,Ca,0.0,-,1
51,calcium,Ca,0.0,-,1
52,calcium,Ca,0.0,-,1
53,scandium,Sc,3.5,-,1
54,titanium,Ti,0.0,-,1
55,titanium,Ti,2.5,-,1
56,titanium,Ti,0.0,-,1
57,titanium,Ti,3.5,-,1
58,titanium,Ti,0.0,-,1
59,vanadium,V,6.0,-,1
60,vanadium,V,3.5,-,1
61,chromium,Cr,0.0,-,1
62,chromium,Cr,0.0,-,1
63,chromium,Cr,1.5,-,1
64,chromium,Cr,0.0,-,1
65,manganese,Mn,3.5,*,0
66,manganese,Mn,2.5,-,1
67,iron,Fe,0.0,-,1
68,iron,Fe,0.0,-,1
69,iron,Fe,0.5,-,1
70,iron,Fe,0.0,-,1
71,cobalt,Co,3.5,-,1
72,cobalt,Co,5.0,*,0
73,nickel,Ni,0.0,-,1
74,nickel,Ni,0.0,-,1
75,nickel,Ni,1.5,-,1
76,nickel,Ni,0.0,-,1
77,nickel,Ni,0.0,-,1
78,copper,Cu,1.5,-,1
79,copper,Cu,1.5,-,1
80,zinc,Zn,0.0,-,1
81,zinc,Zn,0.0,-,1
82,zinc,Zn,2.5,-,1
83,zinc,Zn,0.0,-,1
84,zinc,Zn,0.0,-,1
85,gallium,Ga,1.5,-,1
86,gallium,Ga,1.5,-,1
87,germanium,Ge,0.0,-,1
88,germanium,Ge,0.0,-,1
89,germanium,Ge,4.5,-,1
90,germanium,Ge,0.0,-,1
91,germanium,Ge,0.0,-,1
92,arsenic,As,1.5,-,1
93,selenium,Se,0.0,-,1
94,selenium,Se,0.0,-,1
95,selenium,Se,0.5,-,1
96,selenium,Se,0.0,-,1
97,selenium,Se,3.5,*,0
98,selenium,Se,0.0,-,1
99,selenium,Se,0.0,-,1
100,bromine,Br,1.5,-,1
101,bromine,Br,1.5,-,1
102,krypton,Kr,0.0,-,1
103,krypton,Kr,0.0,-,1
104,krypton,Kr,0.0,-,1
105,krypton,Kr,4.5,-,1
106,krypton,Kr,0.0,-,1
107,krypton,Kr,4.5,*,0
108,krypton,Kr,0.0,-,1
109,rubidium,Rb,2.5,-,1
110,rubidium,Rb,1.5,-,1
111,strontium,Sr,0.0,-,1
112,strontium,Sr,0.0,-,1
113,strontium,Sr,4.5,-,1
114,strontium,Sr,0.0,-,1
115,yttrium,Y,0.5,-,1
116,zirconium,Zr,0.0,-,1
117,zirconium,Zr,2.5,-,1
118,zirconium,Zr,0.0,-,1
119,zirconium,Zr,0.0,-,1
120,zirconium,Zr,0.0,-,1
121,niobium,Nb,4.5,-,1
122,molybdenum,Mo,0.0,-,1
123,molybdenum,Mo,0.0,-,1
124,molybdenum,Mo,2.5,-,1
125,molybdenum,Mo,0.0,-,1
126,molybdenum,Mo,2.5,-,1
127,molybdenum,Mo,0.0,-,1
128,molybdenum,Mo,0.0,-,1
129,technetium,Tc,4.5,*,0
130,ruthenium,Ru,0.0,-,1
131,ruthenium,Ru,0.0,-,1
132,ruthenium,Ru,2.5,-,1
133,ruthenium,Ru,0.0,-,1
134,ruthenium,Ru,2.5,-,1
135,ruthenium,Ru,0.0,-,1
136,ruthenium,Ru,0.0,-,1
137,rhodium,Rh,0.5,-,1
138,palladium,Pd,0.0,-,1
139,palladium,Pd,0.0,-,1
140,palladium,Pd,2.5,-,1
141,palladium,Pd,0.0,-,1
142,palladium,Pd,0.0,-,1
143,palladium,Pd,0.0,-,1
144,silver,Ag,0.5,-,1
145,silver,Ag,0.5,-,1
146,cadmium,Cd,0.0,-,1
147,cadmium,Cd,0.0,-,1
148,cadmium,Cd,0.0,-,1
149,cadmium,Cd,0.5,-,1
150,cadmium,Cd,0.0,-,1
151,cadmium,Cd,0.5,-,1
152,cadmium,Cd,0.0,-,1
153,cadmium,Cd,0.0,-,1
154,indium,In,4.5,-,1
155,indium,In,4.5,-,1
156,tin,Sn,0.0,-,1
157,tin,Sn,0.0,-,1
158,tin,Sn,0.5,-,1
159,tin,Sn,0.0,-,1
160,tin,Sn,0.5,-,1
161,tin,Sn,0.0,-,1
162,tin,Sn,0.5,-,1
163,tin,Sn,0.0,-,1
164,tin,Sn,0.0,-,1
165,tin,Sn,0.0,-,1
166,antimony,Sb,2.5,-,1
167,antimony,Sb,3.5,-,1
168,antimony,Sb,3.5,*,0
169,tellurium,Te,0.0,-,1
170,tellurium,Te,0.0,-,1
171,tellurium,Te,0.5,-,1
172,tellurium,Te,0.0,-,1
173,tellurium,Te,0.5,-,1
174,tellurium,Te,0.0,-,1
175,tellurium,Te,0.0,-,1
176,tellurium,Te,0.0,-,1
177,iodine,I,2.5,-,1
178,iodine,I,3.5,*,0
179,xenon,Xe,0.0,-,1
180,xenon,Xe,0.0,-,1
181,xenon,Xe,0.0,-,1
182,xenon,Xe,0.5,-,1
183,xenon,Xe,0.0,-,1
184,xenon,Xe,1.5,-,1
185,xenon,Xe,0.0,-,1
186,xenon,Xe,0.0,-,1
187,xenon,Xe,0.0,-,1
188,caesium,Cs,3.5,-,1
189,caesium,Cs,4.0,*,0
190,caesium,Cs,3.5,*,0
191,caesium,Cs,3.5,*,0
192,barium,Ba,0.0,-,1
193,barium,Ba,0.0,-,1
194,barium,Ba,0.5,*,0
195,barium,Ba,0.0,-,1
196,barium,Ba,1.5,-,1
197,barium,Ba,0.0,-,1
198,barium,Ba,1.5,-,1
199,barium,Ba,0.0,-,1
200,lanthanum,La,3.5,*,0
201,lanthanum,La,5.0,-,1
202,lanthanum,La,3.5,-,1
203,cerium,Ce,0.0,-,1
204,cerium,Ce,0.0,-,1
205,cerium,Ce,0.0,-,1
206,cerium,Ce,0.0,-,1
207,praseodymium,Pr,2.5,-,1
208,neodymium,Nd,0.0,-,1
209,neodymium,Nd,3.5,-,1
210,neodymium,Nd,0.0,-,1
211,neodymium,Nd,3.5,-,1
212,neodymium,Nd,0.0,-,1
213,neodymium,Nd,0.0,-,1
214,neodymium,Nd,0.0,-,1
215,promethium,Pm,3.5,*,0
216,samarium,Sm,0.0,-,1
217,samarium,Sm,3.5,-,1
218,samarium,Sm,0.0,-,1
219,samarium,Sm,3.5,-,1
220,samarium,Sm,0.0,-,1
221,samarium,Sm,2.5,*,0
222,samarium,Sm,0.0,-,1
223,samarium,Sm,0.0,-,1
224,europium,Eu,2.5,-,1
225,europium,Eu,3.0,*,0
226,europium,Eu,2.5,-,1
227,europium,Eu,3.0,*,0
228,europium,Eu,2.5,*,0
229,gadolinium,Gd,0.0,-,1
230,gadolinium,Gd,0.0,-,1
231,gadolinium,Gd,1.5,-,1
232,gadolinium,Gd,0.0,-,1
233,gadolinium,Gd,1.5,-,1
234,gadolinium,Gd,0.0,-,1
235,gadolinium,Gd,0.0,-,1
236,terbium,Tb,1.5,*,0
237,terbium,Tb,1.5,-,1
238,terbium,Tb,3.0,*,0
239,dysprosium,Dy,0.0,-,1
240,dysprosium,Dy,0.0,-,1
241,dysprosium,Dy,0.0,-,1
242,dysprosium,Dy,2.5,-,1
243,dysprosium,Dy,0.0,-,1
244,dysprosium,Dy,2.5,-,1
245,dysprosium,Dy,0.0,-,1
246,holmium,Ho,3.5,-,1
247,erbium,Er,0.0,-,1
248,erbium,Er,0.0,-,1
249,erbium,Er,0.0,-,1
250,erbium,Er,3.5,-,1
251,erbium,Er,0.0,-,1
252,erbium,Er,0.0,-,1
253,thulium,Tm,0.5,-,1
254,thulium,Tm,0.5,*,0
255,ytterbium,Yb,0.0,-,1
256,ytterbium,Yb,0.0,-,1
257,ytterbium,Yb,0.5,-,1
258,ytterbium,Yb,0.0,-,1
259,ytterbium,Yb,2.5,-,1
260,ytterbium,Yb,0.0,-,1
261,ytterbium,Yb,0.0,-,1
262,lutetium,Lu,3.5,*,0
263,lutetium,Lu,1.0,*,0
264,lutetium,Lu,3.5,-,1
265,lutetium,Lu,7.0,-,1
266,hafnium,Hf,0.0,-,1
267,hafnium,Hf,0.0,-,1
268,hafnium,Hf,3.5,-,1
269,hafnium,Hf,0.0,-,1
270,hafnium,Hf,4.5,-,1
271,hafnium,Hf,0.0,-,1
272,tantalum,Ta,9.0,-,1
273,tantalum,Ta,3.5,-,1
274,tungsten,W,0.0,-,1
275,tungsten,W,0.0,-,1
276,tungsten,W,0.5,-,1
277,tungsten,W,0.0,-,1
278,tungsten,W,0.0,-,1
279,rhenium,Re,2.5,-,1
280,rhenium,Re,2.5,-,1
281,osmium,Os,0.0,-,1
282,osmium,Os,0.0,-,1
283,osmium,Os,0.5,-,1
284,osmium,Os,0.0,-,1
285,osmium,Os,1.5,-,1
286,osmium,Os,0.0,-,1
287,osmium,Os,0.0,-,1
288,iridium,Ir,1.5,-,1
289,iridium,Ir,1.5,-,1
290,platinum,Pt,0.0,-,1
291,platinum,Pt,0.0,-,1
292,platinum,Pt,0.0,-,1
293,platinum,Pt,0.5,-,1
294,platinum,Pt,0.0,-,1
295,platinum,Pt,0.0,-,1
296,gold,Au,1.5,-,1
297,mercury,Hg,0.0,-,1
298,mercury,Hg,0.0,-,1
299,mercury,Hg,0.5,-,1
300,mercury,Hg,0.0,-,1
301,mercury,Hg,1.5,-,1
302,mercury,Hg,0.0,-,1
303,mercury,Hg,0.0,-,1
304,thallium,Tl,0.5,-,1
305,thallium,Tl,2.0,*,0
306,thallium,Tl,0.5,-,1
307,lead,Pb,0.0,-,1
308,lead,Pb,0.0,-,1
309,lead,Pb,0.5,-,1
310,lead,Pb,0.0,-,1
311,bismuth,Bi,4.5,*,0
312,bismuth,Bi,4.5,-,1
313,polonium,Po,0.5,*,0
314,astatine,At,-1.0,*,0
315,radon,Rn,-1.0,*,0
316,francium,Fr,-1.0,*,0
317,radium,Ra,-1.0,*,0
318,actinium,Ac,1.5,*,0
319,thorium,Th,2.5,*,0
320,thorium,Th,0.0,-,1
321,protactinium,Pa,1.5,*,0
322,uranium,U,0.0,*,0
323,uranium,U,3.5,*,0
324,uranium,U,0.0,*,0
325,neptunium,Np,2.5,*,0
326,plutonium,Pu,0.5,*,0
327,americium,Am,2.5,*,0
328,curium,Cm,-1.0,*,0
329,berkelium,Bk,-1.0,*,0
330,californium,Cf,-1.0,*,0
331,einsteinium,Es,-1.0,*,0
332,fermium,Fm,-1.0,*,0
333,mendelevium,Md,-1.0,*,0
334,nobelium,No,-1.0,*,0
335,lawrencium,Lr,-1.0,*,0
336,rutherfordium,Rf,-1.0,*,0
337,dubnium,Db,-1.0,*,0
338,seaborgium,Sg,-1.0,*,0
339,bohrium,Bh,-1.0,*,0
340,hassium,Hs,-1.0,*,0
341,meitnerium,Mt,-1.0,*,0
342,darmstadtium,Ds,-1.0,*,0
343,roentgenium,Rg,-1.0,*,0
344,copernicium,Cn,-1.0,*,0
345,nihonium,Nh,-1.0,*,0
346,flerovium,Fl,-1.0,*,0
347,moscovium,Mc,-1.0,*,0
348,livermorium,Lv,-1.0,*,0
349,tennessine,Ts,-1.0,*,0
350,oganesson,Og,-1.0,*,0
